user_id,country,year,month,distance
4127,Brasil,2014,7,210
5283,Brasil,2014,7,104
5314,Brasil,2014,7,55
5319,Brasil,2014,7,396
5320,Brasil,2014,7,103
5359,Brasil,2014,7,446
706,Brasil,2014,7,1135
5390,Brasil,2014,7,100
5429,Brasil,2014,7,122
5439,Brasil,2014,7,122
5436,Brasil,2014,7,122
5453,Brasil,2014,7,224
5484,Brasil,2014,7,260
5495,Brasil,2014,7,405
5498,Brasil,2014,7,184
5507,Brasil,2014,7,100
5510,Brasil,2014,7,148
5512,Brasil,2014,7,99
5517,Brasil,2014,7,260
5520,Brasil,2014,7,184
3518,Brasil,2014,7,200
5545,Brasil,2014,7,160
5550,Brasil,2014,7,105
5556,Brasil,2014,7,99
3892,Brasil,2014,7,99
973,Brasil,2014,7,848
5577,Brasil,2014,7,200
5578,Brasil,2014,7,279
5579,Brasil,2014,7,190
5580,Brasil,2014,7,583
5098,Brasil,2014,7,147
5601,Brasil,2014,7,1130
5646,Brasil,2014,7,548
515,Brasil,2014,7,274
5647,Brasil,2014,7,100
5658,Brasil,2014,7,276
5677,Brasil,2014,7,99
5684,Brasil,2014,7,100
5687,Brasil,2014,7,100
5692,Brasil,2014,7,552
5694,Brasil,2014,7,155
5703,Brasil,2014,7,100
5719,Brasil,2014,7,433
5724,Brasil,2014,7,271
3758,Brasil,2014,7,291
3041,Brasil,2014,7,98
3977,Brasil,2014,7,585
5759,Brasil,2014,7,268
852,Brasil,2014,7,137
5811,Brasil,2014,7,276
5815,Brasil,2014,7,276
5825,Brasil,2014,7,268
5838,Brasil,2014,7,274
5846,Brasil,2014,7,6
5848,Brasil,2014,7,271
2052,Brasil,2014,7,268
2560,Brasil,2014,7,268
5756,Brasil,2014,7,274
5873,Brasil,2014,7,257
5879,Brasil,2014,7,268
5883,Brasil,2014,7,416
5884,Brasil,2014,7,536
5885,Brasil,2014,7,316
5880,Brasil,2014,7,274
5889,Brasil,2014,7,268
4742,Brasil,2014,7,276
5832,Brasil,2014,7,268
5913,Brasil,2014,7,268
5916,Brasil,2014,7,257
5917,Brasil,2014,7,548
1088,Brasil,2014,7,315
5921,Colombia,2014,7,112
5933,Brasil,2014,7,316
4211,Brasil,2014,7,137
4902,Brasil,2014,7,536
5935,Brasil,2014,7,98
5157,Brasil,2014,7,180
381,Brasil,2014,7,268
5940,Brasil,2014,7,316
5946,Brasil,2014,7,268
5949,Brasil,2014,7,161
5715,Brasil,2014,7,98
5956,Brasil,2014,7,106
5959,Brasil,2014,8,291
5742,Brasil,2014,8,275
5964,Brasil,2014,8,208
5972,Brasil,2014,8,200
5977,Brasil,2014,8,571
5976,Brasil,2014,8,268
5988,Brasil,2014,8,276
6002,Brasil,2014,8,89
6003,Brasil,2014,8,276
6014,Brasil,2014,8,315
5612,Brasil,2014,8,102
6001,Colombia,2014,8,296
6017,Brasil,2014,8,2268
6059,Brasil,2014,8,84
5824,Brasil,2014,8,450
5539,Colombia,2014,8,164
6096,Brasil,2014,8,155
6100,Brasil,2014,8,100
6108,Brasil,2014,8,91
6109,Brasil,2014,8,105
6116,Brasil,2014,8,247
6129,Brasil,2014,8,257
6137,Brasil,2014,8,494
6148,Colombia,2014,8,328
6159,Brasil,2014,8,16
944,Brasil,2014,8,189
6187,Brasil,2014,8,98
6188,Brasil,2014,8,100
6203,Brasil,2014,8,98
6207,Brasil,2014,8,98
6212,Brasil,2014,8,247
5760,Brasil,2014,8,100
6213,Brasil,2014,8,416
2981,Brasil,2014,8,250
6231,Brasil,2014,8,316
6236,Brasil,2014,8,107
4109,Brasil,2014,8,155
6240,Brasil,2014,8,97
6243,Brasil,2014,8,316
6244,Brasil,2014,8,100
6274,Brasil,2014,8,94
6284,Brasil,2014,8,107
3295,Brasil,2014,8,100
6290,Brasil,2014,8,97
6302,Brasil,2014,8,105
6316,Brasil,2014,8,314
367,Brasil,2014,8,155
6344,Brasil,2014,8,99
6365,Brasil,2014,8,876
6377,Brasil,2014,8,97
6385,Colombia,2014,8,610
6404,Colombia,2014,8,408
6405,Colombia,2014,8,564
6410,Brasil,2014,8,91
6412,Brasil,2014,8,91
6414,Brasil,2014,8,90
6424,Brasil,2014,8,251
6426,Brasil,2014,8,106
6430,Colombia,2014,8,312
6431,Brasil,2014,8,107
6444,Colombia,2014,8,312
6448,Colombia,2014,8,282
6450,Colombia,2014,8,282
6451,Brasil,2014,8,90
1009,Brasil,2014,8,438
6472,Brasil,2014,8,91
6484,Brasil,2014,8,101
6490,Brasil,2014,8,457
6500,Brasil,2014,8,457
6511,Colombia,2014,8,123
6514,Brasil,2014,8,106
6537,Brasil,2014,8,212
6536,Brasil,2014,8,452
6549,Brasil,2014,8,244
6551,Brasil,2014,8,429
