user_id,month,year,country,distance
16959,12,2014,Brasil,111
16962,11,2014,Brasil,94
16964,12,2014,Brasil,105
16970,11,2014,Brasil,120
16981,11,2014,Brasil,336
16990,3,2015,Brasil,216
16995,4,2015,Brasil,336
17004,12,2014,Brasil,336
17053,1,2015,Brasil,448
17055,12,2014,Brasil,321
17061,12,2014,Brasil,452
17066,12,2014,Brasil,216
17071,11,2014,Brasil,309
17084,11,2014,Brasil,109
17089,3,2015,Brasil,94
17091,2,2015,Brasil,113
17121,11,2014,Brasil,106
17133,12,2014,Brasil,192
17134,6,2015,Brasil,285
17148,3,2015,Brasil,212
17150,4,2015,Brasil,276
17165,12,2014,Brasil,678
17169,11,2014,Brasil,240
17195,12,2014,Brasil,224
17218,5,2015,Brasil,460
17240,3,2015,Brasil,840
17277,12,2014,Brasil,234
17288,11,2014,Brasil,92
17293,11,2014,Brasil,110
17360,3,2015,Brasil,318
17361,4,2015,Brasil,428
17365,1,2015,Brasil,246
17393,8,2015,Brasil,384
17398,12,2014,Brasil,110
17410,3,2015,Brasil,97
17416,2,2015,Brasil,107
17482,1,2015,Brasil,324
17528,5,2015,Brasil,244
17602,11,2014,Brasil,106
17615,11,2014,Brasil,368
17629,12,2014,Brasil,220
17662,11,2014,Brasil,10
17706,11,2014,Brasil,464
17710,1,2015,Brasil,234
17717,2,2015,Brasil,236
17725,1,2015,Brasil,333
17739,11,2014,Brasil,642
17743,8,2015,Brasil,99
17755,11,2014,Brasil,990
17774,12,2014,Brasil,220
17800,11,2014,Brasil,654
17804,1,2015,Brasil,285
17808,3,2015,Brasil,1110
17831,12,2014,Brasil,288
17852,11,2014,Brasil,220
17903,1,2015,Brasil,324
17905,7,2015,Brasil,99
17915,11,2014,Brasil,348
17922,3,2015,Brasil,330
17923,12,2014,Brasil,678
17933,3,2015,Brasil,214
17940,11,2014,Brasil,440
17969,12,2014,Brasil,3344
18007,3,2015,Brasil,94
18085,11,2014,Brasil,93
18116,11,2014,Brasil,220
18147,1,2015,Brasil,366
18203,12,2014,Brasil,488
18205,12,2014,Brasil,114
18228,11,2014,Brasil,103
18231,12,2014,Brasil,390
18238,7,2015,Brasil,13
18287,6,2015,Brasil,678
18330,11,2014,Brasil,336
18339,3,2015,Brasil,188
18365,5,2015,Brasil,336
18383,3,2015,Brasil,214
18421,12,2014,Brasil,360
18424,2,2015,Brasil,200
18429,12,2014,Brasil,312
18462,1,2015,Brasil,109
18466,1,2015,Brasil,436
18467,3,2015,Brasil,376
18474,9,2015,Brasil,345
18487,11,2014,Brasil,339
18522,11,2014,Brasil,336
18611,2,2015,Brasil,321
18634,2,2015,Brasil,188
18642,9,2015,Brasil,297
18643,9,2015,Brasil,369
18645,12,2014,Brasil,226
18649,11,2014,Brasil,113
18754,11,2014,Brasil,110
18762,11,2014,Brasil,222
18785,11,2014,Brasil,108
18786,11,2014,Brasil,94
18789,10,2015,Brasil,555
18825,11,2014,Brasil,216
18865,1,2015,Brasil,30
18910,11,2014,Brasil,119
18926,11,2014,Brasil,105
18928,4,2015,Brasil,184
18956,9,2015,Brasil,222
18957,11,2014,Brasil,190
19046,11,2014,Brasil,226
19081,2,2015,Brasil,216
19096,8,2015,Brasil,222
19137,11,2014,Brasil,318
19144,12,2014,Brasil,95
19153,5,2015,Brasil,412
19232,2,2015,Brasil,226
19235,11,2014,Brasil,224
19243,4,2015,Brasil,321
19251,11,2014,Brasil,228
19271,3,2015,Brasil,363
19283,11,2014,Brasil,116
