user_id,MONTH,YEAR,distance,COUNT
333858,12,2015,60,1
333873,11,2015,1128,3
333873,12,2015,836,2
333880,11,2015,1200,1
333902,11,2015,133,6
333907,11,2015,388,1
333913,11,2015,588,6
333914,12,2015,352,2
333916,11,2015,500,1
333924,11,2015,69,1
333930,11,2015,1936,1
333942,11,2015,246,1
333953,11,2015,38,1
333962,12,2015,348,1
333964,12,2015,105,1
333974,11,2015,56,1
333982,11,2015,20,2
334012,11,2015,246,3
334020,11,2015,80,1
334026,11,2015,224,1
334027,11,2015,28,1
334034,1,2016,51,8
334034,11,2015,131,4
334034,12,2015,224,30
334037,11,2015,306,2
334054,11,2015,27,1
334055,11,2015,258,3
334060,11,2015,222,2
334061,11,2015,144,3
334072,12,2015,620,1
334077,11,2015,276,2
334078,11,2015,32,2
334095,11,2015,3129,1
334095,12,2015,4196,1
334098,11,2015,232,1
334108,11,2015,324,3
334109,11,2015,4,1
334114,11,2015,21,1
334121,11,2015,826,1
334123,11,2015,385,1
334129,11,2015,2916,2
334129,12,2015,2268,3
334142,11,2015,123,1
334206,11,2015,15,1
334206,12,2015,264,1
334232,11,2015,225,1
334232,12,2015,435,1
334234,11,2015,1584,1
334236,11,2015,1025,8
334250,11,2015,372,2
334250,12,2015,253,2
334279,12,2015,216,1
334310,11,2015,889,2
334311,11,2015,412,2
334325,11,2015,999,1
334335,11,2015,9,1
334336,11,2015,248,1
334358,11,2015,606,1
334394,11,2015,256,1
334396,11,2015,120,1
334405,11,2015,170,7
334409,11,2015,132,5
334412,11,2015,256,1
334425,11,2015,256,1
334435,11,2015,4,1
334438,11,2015,256,1
334443,11,2015,40,1
334453,11,2015,1540,1
334455,11,2015,2,1
334455,12,2015,782,1
334457,11,2015,176,1
334461,11,2015,256,1
334480,11,2015,256,1
334483,11,2015,96,1
334486,11,2015,30,1
334494,11,2015,136,1
334495,11,2015,396,1
334496,11,2015,10,1
334503,11,2015,256,1
334504,11,2015,192,1
334506,11,2015,306,1
334507,11,2015,270,1
334516,11,2015,120,1
334521,11,2015,294,1
334524,11,2015,71,2
334531,11,2015,255,1
334533,11,2015,120,1
334534,11,2015,256,1
334535,11,2015,24,1
334541,11,2015,480,1
334546,11,2015,10,2
334549,11,2015,117,2
334551,11,2015,240,1
334553,11,2015,132,2
334555,11,2015,416,1
334559,11,2015,304,6
334559,12,2015,577,4
334560,11,2015,2,1
334561,11,2015,256,1
334567,11,2015,320,1
334570,11,2015,55,3
334573,11,2015,88,1
334575,11,2015,2576,2
334575,12,2015,1479,2
334576,11,2015,120,1
334579,11,2015,68,2
334587,11,2015,480,1
334588,11,2015,360,1
334589,11,2015,240,1
334596,11,2015,88,1
334599,11,2015,656,1
334603,11,2015,256,1
334604,11,2015,240,1
334606,11,2015,120,1
334615,11,2015,320,1
334617,11,2015,656,1
334627,11,2015,416,1
334630,11,2015,240,1
334638,11,2015,88,1
334640,11,2015,256,1
334641,11,2015,120,1
334647,11,2015,480,1
334654,11,2015,240,1
334657,11,2015,656,1
334659,11,2015,296,1
334667,11,2015,120,1
334673,11,2015,88,1
334676,11,2015,256,1
334677,11,2015,416,1
334679,11,2015,240,1
334681,11,2015,120,1
334692,11,2015,296,1
334693,11,2015,120,1
334697,11,2015,240,1
334698,11,2015,656,1
334702,11,2015,480,1
334717,11,2015,161,3
334719,11,2015,256,1
334722,11,2015,2058,2
334727,11,2015,240,1
334729,11,2015,592,2
334734,11,2015,416,1
334740,11,2015,328,1
334741,11,2015,88,1
334745,11,2015,120,1
334746,11,2015,240,1
334748,11,2015,256,1
334751,11,2015,480,1
334756,11,2015,312,1
334769,11,2015,416,1
334773,11,2015,256,1
334779,11,2015,296,1
334795,11,2015,256,1
334796,11,2015,416,1
334803,11,2015,120,1
334804,11,2015,656,1
334805,11,2015,200,1
334821,11,2015,416,1
334827,11,2015,240,1
334832,11,2015,240,1
334835,11,2015,120,1
334836,11,2015,656,1
334837,11,2015,60,1
334846,11,2015,26,2
334847,11,2015,240,1
334848,11,2015,120,1
334858,11,2015,416,1
334863,11,2015,120,1
334864,11,2015,328,1
334865,11,2015,120,1
334866,11,2015,5,1
334868,11,2015,378,1
334884,11,2015,120,1
334885,11,2015,221,1
334887,11,2015,120,1
334892,12,2015,198,1
334894,11,2015,207,1
334895,11,2015,264,1
334907,12,2015,1050,1
334918,11,2015,128,2
334920,11,2015,132,3
