,Country,Date,Reference,cohort size RR1 driver,cohort size RR2 driver,RR1 driver,RR1 driver_Ac,RR2 driver,RR2 driver_Ac,cohort size RR1 pax,cohort size  RR2 pax,RR1 pax,RR1 pax_Ac,RR2 pax,RR2 pax_Ac
240,Chile,Jul/2015,same_month,131.0,38778.0,26.0,26.0,13471.0,13471.0,329.0,35002.0,173.0,173.0,42690.0,42690.0
241,Chile,Jul/2015,1_month,131.0,38778.0,21.0,35.0,10647.0,24118.0,329.0,35002.0,35.0,184.0,9247.0,51937.0
242,Chile,Jul/2015,2_month,131.0,38778.0,22.0,39.0,11183.0,35301.0,329.0,35002.0,40.0,190.0,14570.0,66507.0
243,Chile,Jul/2015,3_month,131.0,38778.0,15.0,43.0,7312.0,42613.0,329.0,35002.0,41.0,197.0,14946.0,81453.0
244,Chile,Jul/2015,4_month,131.0,38778.0,14.0,45.0,8653.0,51266.0,329.0,35002.0,35.0,206.0,10621.0,92074.0
245,Chile,Jul/2015,5_month,131.0,38778.0,11.0,47.0,6400.0,57666.0,329.0,35002.0,34.0,211.0,9257.0,101331.0
246,Chile,Jul/2015,6_month,131.0,38778.0,0.0,0.0,0.0,0.0,329.0,35002.0,0.0,0.0,0.0,0.0
247,Chile,Jul/2015,7_to_12_month,131.0,38778.0,0.0,0.0,0.0,0.0,329.0,35002.0,0.0,0.0,0.0,0.0
248,Chile,Aug/2015,same_month,303.0,78231.0,154.0,154.0,85132.0,85132.0,578.0,45572.0,390.0,390.0,105723.0,105723.0
249,Chile,Aug/2015,1_month,303.0,78231.0,197.0,223.0,140384.0,225516.0,578.0,45572.0,332.0,436.0,129249.0,234972.0
250,Chile,Aug/2015,2_month,303.0,78231.0,157.0,224.0,106729.0,332245.0,578.0,45572.0,269.0,442.0,93072.0,328044.0
251,Chile,Aug/2015,3_month,303.0,78231.0,134.0,226.0,79417.0,411662.0,578.0,45572.0,233.0,444.0,75222.0,403266.0
252,Chile,Aug/2015,4_month,303.0,78231.0,81.0,229.0,34906.0,446568.0,578.0,45572.0,126.0,446.0,31265.0,434531.0
253,Chile,Aug/2015,5_month,303.0,78231.0,0.0,0.0,0.0,0.0,578.0,45572.0,0.0,0.0,0.0,0.0
254,Chile,Aug/2015,6_month,303.0,78231.0,0.0,0.0,0.0,0.0,578.0,45572.0,0.0,0.0,0.0,0.0
255,Chile,Aug/2015,7_to_12_month,303.0,78231.0,0.0,0.0,0.0,0.0,578.0,45572.0,0.0,0.0,0.0,0.0
256,Chile,Sep/2015,same_month,412.0,120110.0,182.0,182.0,126588.0,126588.0,797.0,100099.0,426.0,426.0,150025.0,150025.0
257,Chile,Sep/2015,1_month,412.0,120110.0,171.0,238.0,123368.0,249956.0,797.0,100099.0,283.0,493.0,124555.0,274580.0
258,Chile,Sep/2015,2_month,412.0,120110.0,122.0,245.0,81782.0,331738.0,797.0,100099.0,200.0,511.0,103006.0,377586.0
259,Chile,Sep/2015,3_month,412.0,120110.0,100.0,259.0,74451.0,406189.0,797.0,100099.0,149.0,519.0,67543.0,445129.0
260,Chile,Sep/2015,4_month,412.0,120110.0,0.0,0.0,0.0,0.0,797.0,100099.0,0.0,0.0,0.0,0.0
261,Chile,Sep/2015,5_month,412.0,120110.0,0.0,0.0,0.0,0.0,797.0,100099.0,0.0,0.0,0.0,0.0
262,Chile,Sep/2015,6_month,412.0,120110.0,0.0,0.0,0.0,0.0,797.0,100099.0,0.0,0.0,0.0,0.0
263,Chile,Sep/2015,7_to_12_month,412.0,120110.0,0.0,0.0,0.0,0.0,797.0,100099.0,0.0,0.0,0.0,0.0
264,Chile,Oct/2015,same_month,363.0,143859.0,140.0,140.0,91178.0,91178.0,869.0,116753.0,452.0,452.0,143498.0,143498.0
265,Chile,Oct/2015,1_month,363.0,143859.0,123.0,183.0,111594.0,202772.0,869.0,116753.0,197.0,509.0,107371.0,250869.0
266,Chile,Oct/2015,2_month,363.0,143859.0,78.0,193.0,56338.0,259110.0,869.0,116753.0,111.0,522.0,42437.0,293306.0
267,Chile,Oct/2015,3_month,363.0,143859.0,0.0,0.0,0.0,0.0,869.0,116753.0,0.0,0.0,0.0,0.0
268,Chile,Oct/2015,4_month,363.0,143859.0,0.0,0.0,0.0,0.0,869.0,116753.0,0.0,0.0,0.0,0.0
269,Chile,Oct/2015,5_month,363.0,143859.0,0.0,0.0,0.0,0.0,869.0,116753.0,0.0,0.0,0.0,0.0
270,Chile,Oct/2015,6_month,363.0,143859.0,0.0,0.0,0.0,0.0,869.0,116753.0,0.0,0.0,0.0,0.0
271,Chile,Oct/2015,7_to_12_month,363.0,143859.0,0.0,0.0,0.0,0.0,869.0,116753.0,0.0,0.0,0.0,0.0
272,Chile,Nov/2015,same_month,339.0,80024.0,140.0,140.0,87070.0,87070.0,675.0,68256.0,323.0,323.0,127329.0,127329.0
273,Chile,Nov/2015,1_month,339.0,80024.0,98.0,165.0,56530.0,143600.0,675.0,68256.0,187.0,373.0,61862.0,189191.0
274,Chile,Nov/2015,2_month,339.0,80024.0,0.0,0.0,0.0,0.0,675.0,68256.0,0.0,0.0,0.0,0.0
275,Chile,Nov/2015,3_month,339.0,80024.0,0.0,0.0,0.0,0.0,675.0,68256.0,0.0,0.0,0.0,0.0
276,Chile,Nov/2015,4_month,339.0,80024.0,0.0,0.0,0.0,0.0,675.0,68256.0,0.0,0.0,0.0,0.0
277,Chile,Nov/2015,5_month,339.0,80024.0,0.0,0.0,0.0,0.0,675.0,68256.0,0.0,0.0,0.0,0.0
278,Chile,Nov/2015,6_month,339.0,80024.0,0.0,0.0,0.0,0.0,675.0,68256.0,0.0,0.0,0.0,0.0
279,Chile,Nov/2015,7_to_12_month,339.0,80024.0,0.0,0.0,0.0,0.0,675.0,68256.0,0.0,0.0,0.0,0.0
280,Chile,Dec/2015,same_month,376.0,172902.0,85.0,85.0,79116.0,79116.0,868.0,208330.0,287.0,287.0,157296.0,157296.0
281,Chile,Dec/2015,1_month,376.0,172902.0,0.0,0.0,0.0,0.0,868.0,208330.0,0.0,0.0,0.0,0.0
282,Chile,Dec/2015,2_month,376.0,172902.0,0.0,0.0,0.0,0.0,868.0,208330.0,0.0,0.0,0.0,0.0
283,Chile,Dec/2015,3_month,376.0,172902.0,0.0,0.0,0.0,0.0,868.0,208330.0,0.0,0.0,0.0,0.0
284,Chile,Dec/2015,4_month,376.0,172902.0,0.0,0.0,0.0,0.0,868.0,208330.0,0.0,0.0,0.0,0.0
285,Chile,Dec/2015,5_month,376.0,172902.0,0.0,0.0,0.0,0.0,868.0,208330.0,0.0,0.0,0.0,0.0
286,Chile,Dec/2015,6_month,376.0,172902.0,0.0,0.0,0.0,0.0,868.0,208330.0,0.0,0.0,0.0,0.0
287,Chile,Dec/2015,7_to_12_month,376.0,172902.0,0.0,0.0,0.0,0.0,868.0,208330.0,0.0,0.0,0.0,0.0
288,Colombia,Apr/2015,same_month,204.0,59511.0,142.0,142.0,254841.0,254841.0,708.0,51966.0,386.0,386.0,287535.0,287535.0
289,Colombia,Apr/2015,1_month,204.0,59511.0,59.0,149.0,109190.0,364031.0,708.0,51966.0,250.0,444.0,121674.0,409209.0
290,Colombia,Apr/2015,2_month,204.0,59511.0,28.0,152.0,67469.0,431500.0,708.0,51966.0,60.0,450.0,72386.0,481595.0
291,Colombia,Apr/2015,3_month,204.0,59511.0,25.0,152.0,38658.0,470158.0,708.0,51966.0,62.0,457.0,23976.0,505571.0
292,Colombia,Apr/2015,4_month,204.0,59511.0,34.0,156.0,89310.0,559468.0,708.0,51966.0,126.0,475.0,56299.0,561870.0
293,Colombia,Apr/2015,5_month,204.0,59511.0,31.0,158.0,133454.0,692922.0,708.0,51966.0,126.0,483.0,98365.0,660235.0
294,Colombia,Apr/2015,6_month,204.0,59511.0,30.0,160.0,113130.0,806052.0,708.0,51966.0,127.0,493.0,98589.0,758824.0
295,Colombia,Apr/2015,7_to_12_month,204.0,59511.0,30.0,163.0,133169.0,939221.0,708.0,51966.0,100.0,496.0,92812.0,851636.0
296,Colombia,May/2015,same_month,150.0,73193.0,38.0,38.0,47640.0,47640.0,567.0,42437.0,377.0,377.0,134662.0,134662.0
297,Colombia,May/2015,1_month,150.0,73193.0,13.0,48.0,29226.0,76866.0,567.0,42437.0,61.0,385.0,69756.0,204418.0
298,Colombia,May/2015,2_month,150.0,73193.0,11.0,52.0,76549.0,153415.0,567.0,42437.0,54.0,397.0,189854.0,394272.0
299,Colombia,May/2015,3_month,150.0,73193.0,9.0,53.0,57457.0,210872.0,567.0,42437.0,55.0,409.0,111045.0,505317.0
300,Colombia,May/2015,4_month,150.0,73193.0,10.0,53.0,71208.0,282080.0,567.0,42437.0,58.0,418.0,78391.0,583708.0
301,Colombia,May/2015,5_month,150.0,73193.0,11.0,53.0,57845.0,339925.0,567.0,42437.0,63.0,426.0,75901.0,659609.0
302,Colombia,May/2015,6_month,150.0,73193.0,10.0,53.0,55080.0,395005.0,567.0,42437.0,49.0,426.0,64427.0,724036.0
303,Colombia,May/2015,7_to_12_month,150.0,73193.0,8.0,53.0,23634.0,418639.0,567.0,42437.0,21.0,426.0,33673.0,757709.0
304,Colombia,Jun/2015,same_month,133.0,112576.0,26.0,26.0,43856.0,43856.0,186.0,55987.0,93.0,93.0,91534.0,91534.0
305,Colombia,Jun/2015,1_month,133.0,112576.0,36.0,56.0,218247.0,262103.0,186.0,55987.0,45.0,102.0,83614.0,175148.0
306,Colombia,Jun/2015,2_month,133.0,112576.0,26.0,58.0,126578.0,388681.0,186.0,55987.0,35.0,107.0,51728.0,226876.0
307,Colombia,Jun/2015,3_month,133.0,112576.0,21.0,61.0,88118.0,476799.0,186.0,55987.0,33.0,110.0,48920.0,275796.0
308,Colombia,Jun/2015,4_month,133.0,112576.0,20.0,63.0,117708.0,594507.0,186.0,55987.0,31.0,114.0,76209.0,352005.0
309,Colombia,Jun/2015,5_month,133.0,112576.0,28.0,65.0,77321.0,671828.0,186.0,55987.0,21.0,116.0,60148.0,412153.0
310,Colombia,Jun/2015,6_month,133.0,112576.0,29.0,71.0,74602.0,746430.0,186.0,55987.0,24.0,117.0,52028.0,464181.0
311,Colombia,Jun/2015,7_to_12_month,133.0,112576.0,0.0,0.0,0.0,0.0,186.0,55987.0,0.0,0.0,0.0,0.0
312,Colombia,Jul/2015,same_month,188.0,81611.0,48.0,48.0,88041.0,88041.0,391.0,54345.0,165.0,165.0,132983.0,132983.0
313,Colombia,Jul/2015,1_month,188.0,81611.0,56.0,76.0,122398.0,210439.0,391.0,54345.0,136.0,206.0,81360.0,214343.0
314,Colombia,Jul/2015,2_month,188.0,81611.0,44.0,87.0,157618.0,368057.0,391.0,54345.0,101.0,217.0,98935.0,313278.0
315,Colombia,Jul/2015,3_month,188.0,81611.0,23.0,91.0,68366.0,436423.0,391.0,54345.0,85.0,226.0,78953.0,392231.0
316,Colombia,Jul/2015,4_month,188.0,81611.0,27.0,91.0,61830.0,498253.0,391.0,54345.0,64.0,234.0,48737.0,440968.0
317,Colombia,Jul/2015,5_month,188.0,81611.0,20.0,96.0,34504.0,532757.0,391.0,54345.0,16.0,238.0,28205.0,469173.0
318,Colombia,Jul/2015,6_month,188.0,81611.0,0.0,0.0,0.0,0.0,391.0,54345.0,0.0,0.0,0.0,0.0
319,Colombia,Jul/2015,7_to_12_month,188.0,81611.0,0.0,0.0,0.0,0.0,391.0,54345.0,0.0,0.0,0.0,0.0
320,Colombia,Aug/2015,same_month,206.0,114104.0,77.0,77.0,193744.0,193744.0,718.0,85496.0,378.0,378.0,270366.0,270366.0
321,Colombia,Aug/2015,1_month,206.0,114104.0,63.0,95.0,157198.0,350942.0,718.0,85496.0,290.0,448.0,190248.0,460614.0
322,Colombia,Aug/2015,2_month,206.0,114104.0,41.0,103.0,73091.0,424033.0,718.0,85496.0,253.0,488.0,83590.0,544204.0
323,Colombia,Aug/2015,3_month,206.0,114104.0,38.0,106.0,64132.0,488165.0,718.0,85496.0,180.0,498.0,57736.0,601940.0
324,Colombia,Aug/2015,4_month,206.0,114104.0,15.0,111.0,18193.0,506358.0,718.0,85496.0,38.0,504.0,24338.0,626278.0
325,Colombia,Aug/2015,5_month,206.0,114104.0,0.0,0.0,0.0,0.0,718.0,85496.0,0.0,0.0,0.0,0.0
326,Colombia,Aug/2015,6_month,206.0,114104.0,0.0,0.0,0.0,0.0,718.0,85496.0,0.0,0.0,0.0,0.0
327,Colombia,Aug/2015,7_to_12_month,206.0,114104.0,0.0,0.0,0.0,0.0,718.0,85496.0,0.0,0.0,0.0,0.0
328,Colombia,Sep/2015,same_month,198.0,125617.0,82.0,82.0,287062.0,287062.0,628.0,85478.0,347.0,347.0,366093.0,366093.0
329,Colombia,Sep/2015,1_month,198.0,125617.0,72.0,108.0,273512.0,560574.0,628.0,85478.0,270.0,432.0,270887.0,636980.0
330,Colombia,Sep/2015,2_month,198.0,125617.0,72.0,116.0,292417.0,852991.0,628.0,85478.0,191.0,445.0,291603.0,928583.0
331,Colombia,Sep/2015,3_month,198.0,125617.0,42.0,121.0,90826.0,943817.0,628.0,85478.0,59.0,448.0,129439.0,1058022.0
332,Colombia,Sep/2015,4_month,198.0,125617.0,0.0,0.0,0.0,0.0,628.0,85478.0,0.0,0.0,0.0,0.0
333,Colombia,Sep/2015,5_month,198.0,125617.0,0.0,0.0,0.0,0.0,628.0,85478.0,0.0,0.0,0.0,0.0
334,Colombia,Sep/2015,6_month,198.0,125617.0,0.0,0.0,0.0,0.0,628.0,85478.0,0.0,0.0,0.0,0.0
335,Colombia,Sep/2015,7_to_12_month,198.0,125617.0,0.0,0.0,0.0,0.0,628.0,85478.0,0.0,0.0,0.0,0.0
336,Colombia,Oct/2015,same_month,242.0,111568.0,83.0,83.0,141897.0,141897.0,746.0,88269.0,360.0,360.0,270846.0,270846.0
337,Colombia,Oct/2015,1_month,242.0,111568.0,66.0,102.0,233581.0,375478.0,746.0,88269.0,210.0,410.0,266761.0,537607.0
338,Colombia,Oct/2015,2_month,242.0,111568.0,66.0,120.0,129002.0,504480.0,746.0,88269.0,78.0,424.0,151497.0,689104.0
339,Colombia,Oct/2015,3_month,242.0,111568.0,0.0,0.0,0.0,0.0,746.0,88269.0,0.0,0.0,0.0,0.0
340,Colombia,Oct/2015,4_month,242.0,111568.0,0.0,0.0,0.0,0.0,746.0,88269.0,0.0,0.0,0.0,0.0
341,Colombia,Oct/2015,5_month,242.0,111568.0,0.0,0.0,0.0,0.0,746.0,88269.0,0.0,0.0,0.0,0.0
342,Colombia,Oct/2015,6_month,242.0,111568.0,0.0,0.0,0.0,0.0,746.0,88269.0,0.0,0.0,0.0,0.0
343,Colombia,Oct/2015,7_to_12_month,242.0,111568.0,0.0,0.0,0.0,0.0,746.0,88269.0,0.0,0.0,0.0,0.0
344,Colombia,Nov/2015,same_month,165.0,80653.0,31.0,31.0,53956.0,53956.0,405.0,79016.0,163.0,163.0,102103.0,102103.0
345,Colombia,Nov/2015,1_month,165.0,80653.0,30.0,48.0,91876.0,145832.0,405.0,79016.0,46.0,180.0,46852.0,148955.0
346,Colombia,Nov/2015,2_month,165.0,80653.0,0.0,0.0,0.0,0.0,405.0,79016.0,0.0,0.0,0.0,0.0
347,Colombia,Nov/2015,3_month,165.0,80653.0,0.0,0.0,0.0,0.0,405.0,79016.0,0.0,0.0,0.0,0.0
348,Colombia,Nov/2015,4_month,165.0,80653.0,0.0,0.0,0.0,0.0,405.0,79016.0,0.0,0.0,0.0,0.0
349,Colombia,Nov/2015,5_month,165.0,80653.0,0.0,0.0,0.0,0.0,405.0,79016.0,0.0,0.0,0.0,0.0
350,Colombia,Nov/2015,6_month,165.0,80653.0,0.0,0.0,0.0,0.0,405.0,79016.0,0.0,0.0,0.0,0.0
351,Colombia,Nov/2015,7_to_12_month,165.0,80653.0,0.0,0.0,0.0,0.0,405.0,79016.0,0.0,0.0,0.0,0.0
352,Colombia,Dec/2015,same_month,400.0,230572.0,90.0,90.0,100953.0,100953.0,737.0,258184.0,167.0,167.0,147586.0,147586.0
353,Colombia,Dec/2015,1_month,400.0,230572.0,0.0,0.0,0.0,0.0,737.0,258184.0,0.0,0.0,0.0,0.0
354,Colombia,Dec/2015,2_month,400.0,230572.0,0.0,0.0,0.0,0.0,737.0,258184.0,0.0,0.0,0.0,0.0
355,Colombia,Dec/2015,3_month,400.0,230572.0,0.0,0.0,0.0,0.0,737.0,258184.0,0.0,0.0,0.0,0.0
356,Colombia,Dec/2015,4_month,400.0,230572.0,0.0,0.0,0.0,0.0,737.0,258184.0,0.0,0.0,0.0,0.0
357,Colombia,Dec/2015,5_month,400.0,230572.0,0.0,0.0,0.0,0.0,737.0,258184.0,0.0,0.0,0.0,0.0
358,Colombia,Dec/2015,6_month,400.0,230572.0,0.0,0.0,0.0,0.0,737.0,258184.0,0.0,0.0,0.0,0.0
359,Colombia,Dec/2015,7_to_12_month,400.0,230572.0,0.0,0.0,0.0,0.0,737.0,258184.0,0.0,0.0,0.0,0.0
360,India,Apr/2015,same_month,548.0,319902.0,224.0,224.0,192574.0,192574.0,804.0,127968.0,512.0,512.0,371934.0,371934.0
361,India,Apr/2015,1_month,548.0,319902.0,61.0,248.0,45622.0,238196.0,804.0,127968.0,109.0,539.0,58712.0,430646.0
362,India,Apr/2015,2_month,548.0,319902.0,46.0,269.0,27509.0,265705.0,804.0,127968.0,67.0,561.0,32505.0,463151.0
363,India,Apr/2015,3_month,548.0,319902.0,30.0,276.0,24285.0,289990.0,804.0,127968.0,54.0,563.0,33040.0,496191.0
364,India,Apr/2015,4_month,548.0,319902.0,29.0,281.0,57316.0,347306.0,804.0,127968.0,66.0,567.0,47258.0,543449.0
365,India,Apr/2015,5_month,548.0,319902.0,20.0,285.0,18980.0,366286.0,804.0,127968.0,51.0,567.0,29910.0,573359.0
366,India,Apr/2015,6_month,548.0,319902.0,26.0,289.0,23534.0,389820.0,804.0,127968.0,44.0,569.0,29608.0,602967.0
367,India,Apr/2015,7_to_12_month,548.0,319902.0,34.0,292.0,34949.0,424769.0,804.0,127968.0,50.0,571.0,33432.0,636399.0
368,India,May/2015,same_month,355.0,173434.0,78.0,78.0,65240.0,65240.0,464.0,77449.0,298.0,298.0,170844.0,170844.0
369,India,May/2015,1_month,355.0,173434.0,25.0,92.0,21206.0,86446.0,464.0,77449.0,44.0,311.0,44236.0,215080.0
370,India,May/2015,2_month,355.0,173434.0,25.0,107.0,41620.0,128066.0,464.0,77449.0,25.0,315.0,13181.0,228261.0
371,India,May/2015,3_month,355.0,173434.0,20.0,111.0,14006.0,142072.0,464.0,77449.0,18.0,316.0,7378.0,235639.0
372,India,May/2015,4_month,355.0,173434.0,12.0,115.0,7415.0,149487.0,464.0,77449.0,10.0,317.0,5005.0,240644.0
373,India,May/2015,5_month,355.0,173434.0,13.0,117.0,11374.0,160861.0,464.0,77449.0,11.0,321.0,5497.0,246141.0
374,India,May/2015,6_month,355.0,173434.0,6.0,118.0,4174.0,165035.0,464.0,77449.0,12.0,323.0,6463.0,252604.0
375,India,May/2015,7_to_12_month,355.0,173434.0,10.0,119.0,9268.0,174303.0,464.0,77449.0,10.0,324.0,2686.0,255290.0
376,India,Jun/2015,same_month,693.0,388808.0,123.0,123.0,142386.0,142386.0,925.0,187441.0,719.0,719.0,424688.0,424688.0
377,India,Jun/2015,1_month,693.0,388808.0,20.0,133.0,21265.0,163651.0,925.0,187441.0,37.0,727.0,26930.0,451618.0
378,India,Jun/2015,2_month,693.0,388808.0,20.0,141.0,19093.0,182744.0,925.0,187441.0,34.0,733.0,19069.0,470687.0
379,India,Jun/2015,3_month,693.0,388808.0,17.0,149.0,10784.0,193528.0,925.0,187441.0,27.0,737.0,11139.0,481826.0
380,India,Jun/2015,4_month,693.0,388808.0,14.0,152.0,10983.0,204511.0,925.0,187441.0,29.0,741.0,17195.0,499021.0
381,India,Jun/2015,5_month,693.0,388808.0,12.0,153.0,9930.0,214441.0,925.0,187441.0,20.0,742.0,11260.0,510281.0
382,India,Jun/2015,6_month,693.0,388808.0,15.0,155.0,7308.0,221749.0,925.0,187441.0,25.0,744.0,12866.0,523147.0
383,India,Jun/2015,7_to_12_month,693.0,388808.0,0.0,0.0,0.0,0.0,925.0,187441.0,0.0,0.0,0.0,0.0
384,India,Jul/2015,same_month,1339.0,336335.0,82.0,82.0,51122.0,51122.0,2105.0,174741.0,1824.0,1824.0,340551.0,340551.0
385,India,Jul/2015,1_month,1339.0,336335.0,37.0,110.0,28115.0,79237.0,2105.0,174741.0,67.0,1836.0,30920.0,371471.0
386,India,Jul/2015,2_month,1339.0,336335.0,23.0,115.0,12941.0,92178.0,2105.0,174741.0,37.0,1841.0,12972.0,384443.0
387,India,Jul/2015,3_month,1339.0,336335.0,24.0,125.0,19444.0,111622.0,2105.0,174741.0,32.0,1842.0,15257.0,399700.0
388,India,Jul/2015,4_month,1339.0,336335.0,27.0,129.0,23560.0,135182.0,2105.0,174741.0,35.0,1848.0,14242.0,413942.0
389,India,Jul/2015,5_month,1339.0,336335.0,20.0,133.0,14350.0,149532.0,2105.0,174741.0,25.0,1850.0,9640.0,423582.0
390,India,Jul/2015,6_month,1339.0,336335.0,0.0,0.0,0.0,0.0,2105.0,174741.0,0.0,0.0,0.0,0.0
391,India,Jul/2015,7_to_12_month,1339.0,336335.0,0.0,0.0,0.0,0.0,2105.0,174741.0,0.0,0.0,0.0,0.0
392,India,Aug/2015,same_month,1325.0,308230.0,157.0,157.0,114296.0,114296.0,2575.0,158385.0,1525.0,1525.0,304758.0,304758.0
393,India,Aug/2015,1_month,1325.0,308230.0,100.0,214.0,53326.0,167622.0,2575.0,158385.0,258.0,1606.0,83461.0,388219.0
394,India,Aug/2015,2_month,1325.0,308230.0,79.0,237.0,36983.0,204605.0,2575.0,158385.0,150.0,1625.0,60156.0,448375.0
395,India,Aug/2015,3_month,1325.0,308230.0,64.0,245.0,38581.0,243186.0,2575.0,158385.0,105.0,1633.0,48984.0,497359.0
396,India,Aug/2015,4_month,1325.0,308230.0,39.0,251.0,15865.0,259051.0,2575.0,158385.0,76.0,1640.0,23940.0,521299.0
397,India,Aug/2015,5_month,1325.0,308230.0,0.0,0.0,0.0,0.0,2575.0,158385.0,0.0,0.0,0.0,0.0
398,India,Aug/2015,6_month,1325.0,308230.0,0.0,0.0,0.0,0.0,2575.0,158385.0,0.0,0.0,0.0,0.0
399,India,Aug/2015,7_to_12_month,1325.0,308230.0,0.0,0.0,0.0,0.0,2575.0,158385.0,0.0,0.0,0.0,0.0
400,India,Sep/2015,same_month,1458.0,348967.0,179.0,179.0,106775.0,106775.0,2179.0,176122.0,1814.0,1814.0,382651.0,382651.0
401,India,Sep/2015,1_month,1458.0,348967.0,138.0,264.0,104860.0,211635.0,2179.0,176122.0,227.0,1851.0,92227.0,474878.0
402,India,Sep/2015,2_month,1458.0,348967.0,101.0,285.0,64267.0,275902.0,2179.0,176122.0,158.0,1859.0,64858.0,539736.0
403,India,Sep/2015,3_month,1458.0,348967.0,46.0,293.0,26711.0,302613.0,2179.0,176122.0,76.0,1861.0,30134.0,569870.0
404,India,Sep/2015,4_month,1458.0,348967.0,0.0,0.0,0.0,0.0,2179.0,176122.0,0.0,0.0,0.0,0.0
405,India,Sep/2015,5_month,1458.0,348967.0,0.0,0.0,0.0,0.0,2179.0,176122.0,0.0,0.0,0.0,0.0
406,India,Sep/2015,6_month,1458.0,348967.0,0.0,0.0,0.0,0.0,2179.0,176122.0,0.0,0.0,0.0,0.0
407,India,Sep/2015,7_to_12_month,1458.0,348967.0,0.0,0.0,0.0,0.0,2179.0,176122.0,0.0,0.0,0.0,0.0
408,India,Oct/2015,same_month,1600.0,466567.0,117.0,117.0,109044.0,109044.0,3788.0,281301.0,3249.0,3249.0,479630.0,479630.0
409,India,Oct/2015,1_month,1600.0,466567.0,136.0,208.0,72698.0,181742.0,3788.0,281301.0,344.0,3306.0,114673.0,594303.0
410,India,Oct/2015,2_month,1600.0,466567.0,84.0,234.0,55465.0,237207.0,3788.0,281301.0,188.0,3322.0,64222.0,658525.0
411,India,Oct/2015,3_month,1600.0,466567.0,0.0,0.0,0.0,0.0,3788.0,281301.0,0.0,0.0,0.0,0.0
412,India,Oct/2015,4_month,1600.0,466567.0,0.0,0.0,0.0,0.0,3788.0,281301.0,0.0,0.0,0.0,0.0
413,India,Oct/2015,5_month,1600.0,466567.0,0.0,0.0,0.0,0.0,3788.0,281301.0,0.0,0.0,0.0,0.0
414,India,Oct/2015,6_month,1600.0,466567.0,0.0,0.0,0.0,0.0,3788.0,281301.0,0.0,0.0,0.0,0.0
415,India,Oct/2015,7_to_12_month,1600.0,466567.0,0.0,0.0,0.0,0.0,3788.0,281301.0,0.0,0.0,0.0,0.0
416,India,Nov/2015,same_month,1441.0,307765.0,357.0,357.0,167314.0,167314.0,3062.0,264400.0,1902.0,1902.0,338634.0,338634.0
417,India,Nov/2015,1_month,1441.0,307765.0,112.0,424.0,71346.0,238660.0,3062.0,264400.0,212.0,1961.0,82645.0,421279.0
418,India,Nov/2015,2_month,1441.0,307765.0,0.0,0.0,0.0,0.0,3062.0,264400.0,0.0,0.0,0.0,0.0
419,India,Nov/2015,3_month,1441.0,307765.0,0.0,0.0,0.0,0.0,3062.0,264400.0,0.0,0.0,0.0,0.0
420,India,Nov/2015,4_month,1441.0,307765.0,0.0,0.0,0.0,0.0,3062.0,264400.0,0.0,0.0,0.0,0.0
421,India,Nov/2015,5_month,1441.0,307765.0,0.0,0.0,0.0,0.0,3062.0,264400.0,0.0,0.0,0.0,0.0
422,India,Nov/2015,6_month,1441.0,307765.0,0.0,0.0,0.0,0.0,3062.0,264400.0,0.0,0.0,0.0,0.0
423,India,Nov/2015,7_to_12_month,1441.0,307765.0,0.0,0.0,0.0,0.0,3062.0,264400.0,0.0,0.0,0.0,0.0
424,India,Dec/2015,same_month,1155.0,343518.0,522.0,522.0,253110.0,253110.0,3111.0,340830.0,1048.0,1048.0,277153.0,277153.0
425,India,Dec/2015,1_month,1155.0,343518.0,0.0,0.0,0.0,0.0,3111.0,340830.0,0.0,0.0,0.0,0.0
426,India,Dec/2015,2_month,1155.0,343518.0,0.0,0.0,0.0,0.0,3111.0,340830.0,0.0,0.0,0.0,0.0
427,India,Dec/2015,3_month,1155.0,343518.0,0.0,0.0,0.0,0.0,3111.0,340830.0,0.0,0.0,0.0,0.0
428,India,Dec/2015,4_month,1155.0,343518.0,0.0,0.0,0.0,0.0,3111.0,340830.0,0.0,0.0,0.0,0.0
429,India,Dec/2015,5_month,1155.0,343518.0,0.0,0.0,0.0,0.0,3111.0,340830.0,0.0,0.0,0.0,0.0
430,India,Dec/2015,6_month,1155.0,343518.0,0.0,0.0,0.0,0.0,3111.0,340830.0,0.0,0.0,0.0,0.0
431,India,Dec/2015,7_to_12_month,1155.0,343518.0,0.0,0.0,0.0,0.0,3111.0,340830.0,0.0,0.0,0.0,0.0
432,Malaysia + Singapore,Apr/2015,same_month,322.0,61373.0,213.0,213.0,93871.0,93871.0,1048.0,39486.0,630.0,630.0,83771.0,83771.0
433,Malaysia + Singapore,Apr/2015,1_month,322.0,61373.0,52.0,222.0,25116.0,118987.0,1048.0,39486.0,214.0,709.0,26819.0,110590.0
434,Malaysia + Singapore,Apr/2015,2_month,322.0,61373.0,31.0,226.0,25859.0,144846.0,1048.0,39486.0,138.0,734.0,22699.0,133289.0
435,Malaysia + Singapore,Apr/2015,3_month,322.0,61373.0,12.0,226.0,12922.0,157768.0,1048.0,39486.0,66.0,740.0,11351.0,144640.0
436,Malaysia + Singapore,Apr/2015,4_month,322.0,61373.0,17.0,226.0,25461.0,183229.0,1048.0,39486.0,86.0,746.0,20252.0,164892.0
