user_id,YEAR,MONTH,distance,count
1,2014,6,105,5
1,2014,8,2940,1
1,2014,9,902,1
6,2014,5,433,1
11,2014,6,30,1
11,2014,11,217,1
11,2015,2,586,2
24,2014,6,190,1
24,2014,7,380,2
24,2014,8,287,2
26,2015,3,83,1
26,2015,4,78,1
26,2015,5,55,1
26,2015,6,84,1
26,2015,7,331,3
26,2015,8,231,2
26,2015,12,183,2
28,2014,5,193,1
29,2014,5,1116,2
47,2014,12,328,1
50,2015,8,312,1
64,2014,12,321,2
64,2015,1,422,4
64,2015,2,332,2
64,2015,3,215,2
64,2015,4,423,4
64,2015,5,436,4
64,2015,7,225,2
64,2015,9,224,2
64,2015,10,222,2
64,2015,11,217,2
64,2015,12,668,6
64,2016,1,107,1
65,2015,1,93,1
65,2015,2,107,1
65,2015,4,253,2
65,2015,5,110,1
65,2015,6,224,2
65,2015,7,225,2
65,2015,8,444,4
65,2015,9,267,3
65,2015,10,314,3
65,2015,11,227,2
65,2015,12,116,1
68,2015,9,199,2
68,2016,1,96,1
99,2014,5,1133,1
99,2014,6,593,1
99,2014,7,401,1
99,2014,9,441,1
99,2014,11,2,1
163,2015,7,101,1
271,2015,11,292,1
273,2015,3,144,1
273,2015,6,145,1
273,2015,8,580,2
337,2014,11,347,2
337,2015,1,439,4
337,2015,2,623,5
337,2015,4,545,5
337,2015,5,112,1
337,2015,7,344,3
337,2015,8,110,1
337,2015,10,343,3
337,2015,11,117,1
337,2015,12,99,1
340,2014,10,317,1
365,2015,3,439,3
365,2015,5,112,1
365,2015,11,113,1
367,2014,8,257,2
367,2014,11,106,1
367,2015,1,640,5
367,2015,2,108,1
367,2015,3,419,3
367,2015,5,312,3
367,2015,6,342,3
367,2015,8,203,2
367,2015,9,417,4
367,2015,10,102,1
373,2015,4,201,1
373,2015,7,274,2
373,2015,8,473,3
381,2014,7,268,1
435,2014,11,97,1
435,2015,3,123,1
435,2015,5,120,1
435,2015,9,160,1
435,2015,12,303,3
465,2014,9,4,1
465,2014,10,22,1
481,2014,5,15,1
499,2015,9,122,1
515,2014,7,550,2
515,2014,9,896,2
550,2014,6,11,1
552,2014,12,107,1
552,2015,1,324,3
552,2015,2,200,2
552,2015,3,185,2
552,2015,4,94,1
552,2015,5,378,4
552,2015,6,96,1
552,2015,7,207,2
561,2015,10,166,1
602,2014,9,31,1
609,2015,1,227,2
609,2015,2,441,4
609,2015,3,201,2
609,2015,4,325,3
609,2015,5,435,3
609,2015,6,224,2
609,2015,8,115,1
610,2014,11,221,1
610,2015,9,114,1
611,2014,12,113,1
611,2015,3,114,1
611,2015,6,115,1
611,2015,7,224,2
612,2015,10,578,2
612,2015,12,330,1
623,2014,12,321,3
623,2015,1,518,5
623,2015,2,209,2
623,2015,3,451,4
623,2015,4,198,2
623,2015,5,311,3
623,2015,7,102,1
623,2015,10,92,1
623,2015,12,235,2
625,2014,10,92,1
640,2015,11,116,1
653,2014,12,113,1
688,2015,3,107,1
688,2015,9,229,2
706,2014,7,12038,6
706,2014,8,2952,6
706,2014,9,4870,6
706,2014,11,1554,6
706,2014,12,4276,2
706,2015,8,63,1
714,2015,5,118,2
715,2014,10,265,2
715,2014,12,397,2
733,2015,11,116,1
733,2015,12,109,1
838,2015,4,102,1
838,2015,7,101,1
838,2015,8,404,4
838,2015,9,303,3
838,2015,11,102,1
848,2015,5,101,1
848,2015,7,431,3
848,2015,10,146,1
848,2015,12,146,1
852,2014,7,137,1
861,2015,5,101,1
861,2015,10,102,1
861,2015,11,101,1
864,2014,11,3114,1
864,2015,4,27,2
864,2015,6,117,1
891,2015,2,186,2
891,2015,3,90,1
891,2015,10,317,1
894,2015,4,500,1
895,2014,6,190,1
895,2014,7,378,2
901,2014,9,161,1
901,2014,10,144,1
901,2015,1,237,1
901,2015,2,744,1
901,2015,10,1850,2
901,2015,11,1072,2
910,2015,11,84,1
935,2014,6,190,1
935,2014,7,190,1
935,2014,8,190,1
937,2014,6,1290,1
944,2014,8,378,2
973,2014,7,848,1
973,2014,8,429,1
973,2014,9,665,4
973,2014,10,557,2
973,2014,11,1015,10
973,2014,12,93,1
1009,2014,8,438,1
1012,2015,11,237,1
1038,2015,9,10,1
1039,2014,6,553,4
1039,2014,11,217,7
1039,2014,12,4,1
1039,2015,4,8,1
1039,2015,5,391,2
1045,2014,11,298,2
1050,2014,6,10,1
1055,2015,6,101,1
1058,2014,6,10,1
1058,2014,7,677,3
1058,2014,8,196,2
1080,2014,7,433,1
1081,2015,9,239,1
1081,2015,10,233,1
1083,2014,11,103,1
1088,2014,7,315,1
1088,2014,12,6330,2
1088,2015,1,26,1
1088,2015,7,396,2
1099,2015,4,418,1
1101,2015,6,93,1
1101,2015,10,112,1
1128,2015,10,102,1
1128,2015,11,203,2
1128,2016,1,101,1
1142,2014,6,21,1
1155,2014,7,105,1
1162,2014,7,886,2
1182,2015,6,306,2
1182,2015,7,614,4
1182,2015,8,779,5
1182,2015,10,467,3
1202,2015,4,288,2
1202,2015,5,287,2
1202,2015,6,433,3
1202,2015,8,290,2
1202,2015,9,578,4
1202,2015,10,1015,6
1202,2015,11,301,2
1202,2015,12,146,1
1207,2014,12,325,3
1207,2015,1,788,7
1207,2015,2,1568,15
1207,2015,3,1421,14
1207,2015,4,226,2
1207,2015,5,231,2
1207,2015,6,228,2
1207,2015,11,347,3
1207,2015,12,111,1
1252,2015,12,527,1
1329,2014,7,874,1
1358,2014,7,475,2
1364,2015,3,109,1
1364,2015,5,112,1
1402,2015,7,238,1
1402,2015,8,527,3
1402,2015,9,496,2
1402,2015,10,1040,5
1422,2014,5,89,1
1434,2014,7,695,1
1461,2015,11,155,1
1471,2015,4,108,1
1471,2015,5,236,1
1487,2014,5,165,3
1547,2014,5,107,1
1547,2014,6,93,1
1557,2015,9,181,1
1568,2015,10,71,1
1628,2014,6,181,1
1645,2015,7,336,2
1645,2015,8,95,1
1645,2015,9,222,2
1645,2015,10,112,1
1645,2015,12,111,1
1655,2014,6,185,1
1659,2014,6,135,1
1681,2014,9,100,1
1681,2014,11,720,2
1703,2015,4,200,2
1703,2015,5,424,4
1703,2015,6,431,4
1703,2015,7,468,3
1703,2015,8,665,6
1703,2015,9,551,5
1703,2015,10,985,9
1703,2015,11,743,7
1703,2015,12,1229,7
1703,2016,1,428,1
1765,2015,9,99,1
1789,2015,2,282,2
1789,2015,3,206,2
1789,2015,11,320,3
1862,2015,10,84,1
1868,2014,6,540,1
1878,2014,12,405,1
1916,2014,7,583,1
1926,2014,11,212,1
1926,2014,12,111,1
1926,2015,2,114,1
1926,2015,3,1062,8
1926,2015,4,108,1
1926,2015,5,338,3
1926,2015,6,679,6
1926,2015,7,453,4
1926,2015,8,660,5
1926,2015,9,554,5
1926,2015,10,909,8
1926,2015,11,643,6
1926,2015,12,113,1
1931,2015,1,112,1
1931,2015,5,108,1
1931,2015,6,219,2
1931,2015,10,238,2
1931,2015,11,113,1
1931,2015,12,110,1
1940,2014,11,208,2
1940,2015,3,438,4
1940,2015,4,217,2
1940,2015,5,222,2
1940,2015,6,775,7
1940,2015,7,111,1
1940,2015,8,342,3
1940,2015,9,780,7
1940,2015,10,577,5
1940,2015,11,1016,9
1940,2015,12,122,1
1959,2015,3,100,1
1959,2015,8,254,2
1959,2015,10,483,2
1959,2015,12,100,1
1969,2015,7,522,2
1970,2015,7,210,1
1971,2015,4,144,1
1971,2015,7,146,1
1971,2015,8,434,3
1971,2015,9,438,1
1984,2014,6,15,1
1984,2014,7,442,1
1984,2014,8,10,1
1984,2014,10,154,2
1984,2014,11,5918,2
1984,2014,12,1646,2
1984,2015,1,117,1
1984,2015,9,427,1
1989,2014,10,159,1
2052,2014,7,268,1
2067,2015,5,290,2
2067,2015,6,146,1
2067,2015,8,292,2
2067,2015,9,146,1
2067,2015,10,146,1
2067,2015,11,146,1
2067,2015,12,146,1
2069,2015,10,155,1
2079,2014,8,106,1
2107,2015,8,310,1
2110,2015,10,116,1
2116,2014,6,185,1
2121,2015,5,93,1
2135,2014,7,1325,3
2135,2014,8,538,2
2144,2015,12,1398,1
2230,2015,6,96,1
2255,2015,7,125,2
2261,2015,9,459,3
2265,2015,8,156,1
2265,2015,9,476,3
2265,2015,10,241,1
2272,2014,7,153,1
2305,2014,11,109,1
2321,2015,10,294,1
2351,2014,6,106,1
2382,2014,6,586,2
2399,2014,12,108,1
2399,2015,1,218,2
2399,2015,2,210,2
2399,2015,3,945,9
2399,2015,4,861,8
2399,2015,5,685,6
2399,2015,6,909,8
2399,2015,7,881,8
2399,2015,8,667,6
2399,2015,9,656,6
2399,2015,10,225,2
2399,2015,11,760,7
2399,2015,12,114,1
2440,2014,12,238,1
2444,2015,4,248,1
2444,2015,7,534,1
2446,2015,10,1024,1
2449,2015,2,78,1
2458,2014,12,201,2
2482,2014,6,282,2
2482,2014,12,437,4
2482,2015,1,222,1
2482,2015,8,670,6
2482,2015,9,680,5
2482,2015,10,779,6
2482,2015,11,1332,12
2482,2015,12,544,4
2506,2014,6,238,1
2514,2015,12,110,1
2518,2014,6,178,2
